UF;Area;Populacao estimada;IDH;Rendimento Per Capita
AC;164173.431;906876;0.663;888
AL;27830.661;3365351;0.631;777
AP;142470.762;877613;0.708;855
AM;1559167.878;4269995;0.674;800
BA;564760.429;14985284;0.66;843
CE;148894.447;9240580;0.682;881
DF;5760.784;3094325;0.824;2513
ES;46074.448;4108508;0.74;1295
GO;340242.856;7206589;0.735;1276
MA;329651.496;7153262;0.639;635
MT;903207.047;3567234;0.725;1362
MS;357147.995;2839188;0.729;1471
MG;586513.983;21411923;0.731;1325
PA;1245870.7;8777124;0.646;847
PB;56467.242;4059905;0.658;876
PR;199298.981;11597484;0.749;1541
PE;98067.877;9674793;0.673;829
PI;251755.481;3289290;0.646;837
RJ;43750.425;17463349;0.761;1724
RN;52809.599;3560903;0.684;1109
RS;281707.151;11466630;0.746;1787
RO;237765.347;1815278;0.69;1023
RR;223644.53;652713;0.707;1046
SC;95730.69;7338473;0.774;1718
SP;248219.485;46649132;0.783;1836
SE;21938.188;2338474;0.665;929
TO;277423.627;1607363;0.699;1028
